,model,selling_price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,company
0,Maruti Alto Std,120000,2012,Individual,120000,First Owner,Petrol,Manual,Maruti
1,Hyundai Grand i10 Asta,550000,2016,Individual,20000,First Owner,Petrol,Manual,Hyundai
2,Hyundai i20 Asta,215000,2010,Individual,60000,First Owner,Petrol,Manual,Hyundai
3,Maruti Alto K10 2010-2014 VXI,225999,2012,Individual,37000,First Owner,Petrol,Manual,Maruti
4,Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,570000,2015,Dealer,30000,First Owner,Diesel,Manual,Ford
5,Maruti Wagon R VXI BS IV,350000,2013,Individual,35000,First Owner,Petrol,Manual,Maruti
6,Hyundai i10 Sportz 1.2,315000,2013,Dealer,40000,First Owner,Petrol,Manual,Hyundai
7,Maruti Wagon R VXI,409999,2018,Dealer,17512,First Owner,Petrol,Manual,Maruti
8,Hyundai Venue SX Plus Turbo DCT BSIV,1050000,2019,Individual,20000,First Owner,Petrol,Automatic,Hyundai
9,Mahindra TUV 300 T6,575000,2017,Dealer,70000,First Owner,Diesel,Manual,Mahindra
10,Tata Indigo LX (TDI) BS-III,305000,2015,Individual,50000,First Owner,Diesel,Manual,Tata
11,Renault Captur Platine Dual Tone Diesel,1150000,2019,Individual,18000,First Owner,Diesel,Manual,Renault
12,Maruti Swift VXI with ABS,511000,2017,Dealer,28321,First Owner,Petrol,Manual,Maruti
13,Nissan Micra XL CVT,409999,2016,Dealer,27000,First Owner,Petrol,Automatic,Nissan
14,Hyundai Verna 1.6 SX,425000,2013,Dealer,65278,First Owner,Diesel,Manual,Hyundai
15,Renault Duster 110PS Diesel RxL Explore,750000,2016,Individual,50000,First Owner,Diesel,Manual,Renault
16,Mini Cooper Cooper S,3250000,2017,Dealer,6000,First Owner,Petrol,Automatic,Mini
17,Maruti Ciaz ZDi Plus SHVS,650000,2016,Dealer,76000,First Owner,Diesel,Manual,Maruti
18,Maruti Swift VDI BSIV,627000,2016,Individual,20000,First Owner,Diesel,Manual,Maruti
19,Mercedes-Benz C-Class C 220 CDI Avantgarde,1425000,2014,Dealer,65000,First Owner,Diesel,Automatic,Mercedes-Benz
20,Maruti Swift VDI,425000,2014,Dealer,62200,First Owner,Diesel,Manual,Maruti
21,Toyota Innova 2.5 GX (Diesel) 8 Seater,605000,2013,Individual,110000,First Owner,Diesel,Manual,Toyota
22,Maruti Baleno Zeta 1.2,600000,2015,Individual,20000,First Owner,Petrol,Manual,Maruti
23,Maruti Swift Dzire VXI,575000,2016,Individual,40000,First Owner,Petrol,Manual,Maruti
24,Fiat Grande Punto 1.3 Emotion Pack (Diesel),260000,2012,Individual,97000,First Owner,Diesel,Manual,Fiat
25,Volkswagen Vento 1.6 Comfortline BSIV,425000,2013,Dealer,47000,First Owner,Petrol,Manual,Volkswagen
26,Maruti Alto K10 2010-2014 VXI,229999,2013,Dealer,25000,First Owner,Petrol,Manual,Maruti
27,Hyundai Creta 1.6 CRDi SX,1225000,2019,Individual,15000,First Owner,Diesel,Manual,Hyundai
28,Mahindra Xylo H9,375000,2010,Dealer,56823,First Owner,Diesel,Manual,Mahindra
29,Honda City i VTEC VX,750000,2015,Individual,50000,First Owner,Petrol,Manual,Honda
30,Mahindra Bolero SLE BSIII,350000,2011,Individual,25000,First Owner,Diesel,Manual,Mahindra
31,Maruti Swift Dzire VDI,600000,2015,Individual,90000,First Owner,Diesel,Manual,Maruti
32,Maruti Swift Dzire LDI,390000,2013,Dealer,45000,First Owner,Diesel,Manual,Maruti
33,Honda City 2017-2020 GXi,145000,2007,Dealer,77253,First Owner,Petrol,Manual,Honda
34,Hyundai i20 Active 1.2 SX,700000,2018,Individual,25000,First Owner,Petrol,Manual,Hyundai
35,Toyota Fortuner 4x2 Manual,1150000,2013,Individual,110000,First Owner,Diesel,Manual,Toyota
36,Renault KWID Climber 1.0 MT,340000,2017,Individual,30000,First Owner,Petrol,Manual,Renault
37,Honda Amaze S Petrol,465000,2016,Dealer,39993,First Owner,Petrol,Manual,Honda
38,Hyundai Santro Xing GLS,125000,2009,Individual,80000,First Owner,Petrol,Manual,Hyundai
39,Mahindra XUV500 W8 2WD,600000,2012,Individual,185000,First Owner,Diesel,Manual,Mahindra
40,Maruti Swift Dzire VDI,380000,2013,Individual,90000,First Owner,Diesel,Manual,Maruti
41,Mahindra Xylo E8,400000,2009,Individual,60000,First Owner,Diesel,Manual,Mahindra
42,Chevrolet Sail 1.3 Base,300000,2014,Individual,90000,First Owner,Diesel,Manual,Chevrolet
43,Hyundai Xcent 1.2 Kappa SX,500000,2015,Individual,20000,First Owner,Petrol,Manual,Hyundai
44,Hyundai i20 1.4 Asta Option,850000,2018,Individual,15000,First Owner,Diesel,Manual,Hyundai
45,Hyundai i20 1.2 Magna Executive,598000,2018,Individual,40000,First Owner,Petrol,Manual,Hyundai
46,Honda City i VTEC CVT SV,700000,2015,Dealer,31180,First Owner,Petrol,Automatic,Honda
47,Mahindra TUV 300 mHAWK100 T8 AMT,900000,2018,Individual,40000,First Owner,Diesel,Automatic,Mahindra
48,Maruti 800 Std,75000,2004,Individual,50000,First Owner,Petrol,Manual,Maruti
49,Tata Indigo LS TDI BSIII,300000,2015,Individual,58000,First Owner,Diesel,Manual,Tata
50,Maruti Swift Dzire ZDI,409999,2014,Dealer,56000,First Owner,Diesel,Manual,Maruti
51,Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),300000,2011,Individual,93000,First Owner,Diesel,Manual,Fiat
52,Ambassador Avigo 1800 ISZ MPFI AC,225000,2010,Dealer,86000,First Owner,Petrol,Manual,Ambassador
53,Maruti Swift VDI BSIV,300000,2011,Individual,120000,First Owner,Diesel,Manual,Maruti
54,Maruti Baleno Zeta Automatic,590000,2016,Dealer,52427,First Owner,Petrol,Automatic,Maruti
55,Mahindra Bolero B6,850000,2020,Individual,40000,First Owner,Diesel,Manual,Mahindra
56,Tata Nano Cx BSIV,108000,2011,Individual,70000,First Owner,Petrol,Manual,Tata
57,Mahindra KUV100 NXT G80 K8 5Str BSIV,550000,2018,Individual,17000,First Owner,Petrol,Manual,Mahindra
58,Toyota Etios G,325000,2012,Dealer,54325,First Owner,Petrol,Manual,Toyota
59,Maruti Baleno Vxi - BSIII,625000,2016,Dealer,22000,First Owner,Petrol,Manual,Maruti
60,Maruti Swift Dzire ZXI,600000,2016,Individual,54000,First Owner,Petrol,Manual,Maruti
61,Maruti Wagon R LXI Optional,445000,2019,Individual,10000,First Owner,Petrol,Manual,Maruti
62,Maruti Ignis 1.2 Delta BSIV,530000,2019,Individual,20000,First Owner,Petrol,Manual,Maruti
63,Toyota Corolla Altis GL,385000,2011,Dealer,61000,First Owner,Petrol,Manual,Toyota
64,Maruti Wagon R LXI CNG,409999,2018,Trustmark Dealer,53237,First Owner,CNG,Manual,Maruti
65,Datsun RediGO Gold 1.0,350000,2018,Individual,27263,First Owner,Petrol,Manual,Datsun
66,Tata Indigo eLX BS IV,265000,2014,Individual,90000,First Owner,Diesel,Manual,Tata
67,Hyundai Verna 1.6 CRDI,520000,2014,Individual,110000,First Owner,Diesel,Manual,Hyundai
68,Hyundai i20 Asta Option 1.4 CRDi,750000,2016,Individual,70000,First Owner,Diesel,Manual,Hyundai
69,Maruti Swift Dzire VDI,560000,2017,Individual,70000,First Owner,Diesel,Manual,Maruti
70,Tata Vista TDI LS,200000,2014,Individual,190000,First Owner,Diesel,Manual,Tata
71,Hyundai Xcent 1.2 CRDi SX,600000,2017,Individual,40000,First Owner,Diesel,Manual,Hyundai
72,Hyundai i20 1.2 Spotz,655000,2019,Dealer,39000,First Owner,Petrol,Manual,Hyundai
73,Hyundai Santro Xing XE,125000,2007,Dealer,56000,First Owner,Petrol,Manual,Hyundai
74,Toyota Corolla Altis 1.8 VL AT,425000,2009,Dealer,58000,First Owner,Petrol,Automatic,Toyota
75,Maruti Omni E MPI STD BS IV,220000,2017,Individual,40000,First Owner,Petrol,Manual,Maruti
76,Hyundai i20 1.2 Spotz,550000,2018,Individual,34000,First Owner,Petrol,Manual,Hyundai
77,Mahindra Scorpio 1.99 S10,1150000,2017,Individual,50000,First Owner,Diesel,Manual,Mahindra
78,Volkswagen Vento Diesel Highline,500000,2012,Individual,77400,First Owner,Diesel,Manual,Volkswagen
79,Mahindra Marazzo M2 BSIV,990000,2019,Individual,36000,First Owner,Diesel,Manual,Mahindra
80,Hyundai Verna SX Opt Diesel,551000,2013,Dealer,47876,First Owner,Diesel,Manual,Hyundai
81,Mahindra XUV500 W11 Option AT BSIV,1650000,2018,Individual,21500,First Owner,Diesel,Automatic,Mahindra
82,Hyundai Grand i10 CRDi Magna,350000,2015,Dealer,75000,First Owner,Diesel,Manual,Hyundai
83,Ford Aspire 1.2 Ti-VCT Titanium,500000,2017,Dealer,58000,First Owner,Petrol,Manual,Ford
84,Maruti Swift Dzire VXI 1.2,575000,2018,Individual,30000,First Owner,Petrol,Manual,Maruti
85,Hyundai Grand i10 1.2 CRDi Asta,545000,2018,Individual,50000,First Owner,Diesel,Manual,Hyundai
86,Ford Figo 1.2P Titanium MT,525000,2017,Trustmark Dealer,19093,First Owner,Petrol,Manual,Ford
87,Honda Amaze E i-Vtech,400000,2014,Individual,50000,First Owner,Petrol,Manual,Honda
88,Maruti Wagon R LXI BSIII,155000,2006,Dealer,37000,First Owner,Petrol,Manual,Maruti
89,Mahindra Supro VX 8 Str,540000,2019,Individual,3888,First Owner,Diesel,Manual,Mahindra
90,Maruti Swift Dzire VDI,545000,2016,Dealer,47000,First Owner,Diesel,Manual,Maruti
91,Honda City V MT,545000,2013,Individual,70000,First Owner,Petrol,Manual,Honda
92,Renault KWID RXL,240000,2016,Individual,25000,First Owner,Petrol,Manual,Renault
93,Maruti Vitara Brezza LDi Option,725000,2018,Dealer,26000,First Owner,Diesel,Manual,Maruti
94,Ford Aspire 1.2 Ti-VCT Titanium Opt,480000,2017,Individual,30000,First Owner,Petrol,Manual,Ford
95,Hyundai i20 Magna Optional 1.2,375000,2013,Individual,15000,First Owner,Petrol,Manual,Hyundai
96,Maruti Swift VDi BSIII W/ ABS,225000,2011,Individual,160000,First Owner,Diesel,Manual,Maruti
97,Tata Tiago 1.2 Revotron XZ,400000,2017,Individual,32100,First Owner,Petrol,Manual,Tata
98,Hyundai i20 Magna Optional 1.2,550000,2016,Dealer,22000,First Owner,Petrol,Manual,Hyundai
99,Mahindra Scorpio S10 7 Seater,1050000,2016,Dealer,44000,First Owner,Diesel,Manual,Mahindra
100,Volkswagen Polo 1.2 MPI Trendline,450000,2016,Dealer,78000,First Owner,Petrol,Manual,Volkswagen
101,Mercedes-Benz C-Class C 200 CGI Elegance,775000,2012,Dealer,74352,First Owner,Petrol,Automatic,Mercedes-Benz
102,Maruti Wagon R VXI,350000,2014,Individual,37000,First Owner,Petrol,Manual,Maruti
103,Honda City i DTEC VX Option,550000,2014,Dealer,69000,First Owner,Diesel,Manual,Honda
104,Kia Seltos HTK Plus G,1080000,2019,Individual,12120,First Owner,Petrol,Manual,Kia
105,Maruti Baleno Delta,575000,2016,Dealer,52000,First Owner,Petrol,Manual,Maruti
106,Toyota Innova 2.5 G (Diesel) 8 Seater,950000,2016,Individual,120000,First Owner,Diesel,Manual,Toyota
107,Maruti Alto 800 LXI,229999,2013,Individual,55000,First Owner,Petrol,Manual,Maruti
108,Hyundai i20 1.4 CRDi Magna,270000,2011,Individual,160000,First Owner,Diesel,Manual,Hyundai
109,Chevrolet Beat Diesel LS,165000,2012,Dealer,42000,First Owner,Diesel,Manual,Chevrolet
110,Ford Figo Petrol EXI,130000,2011,Individual,40000,First Owner,Petrol,Manual,Ford
111,Maruti Swift Dzire VXI,370000,2012,Dealer,46000,First Owner,Petrol,Manual,Maruti
112,Maruti Baleno Delta 1.2,570000,2017,Dealer,25000,First Owner,Petrol,Manual,Maruti
113,Toyota Etios GD,390000,2015,Individual,240000,First Owner,Diesel,Manual,Toyota
114,Volkswagen Polo Diesel Comfortline 1.2L,365000,2013,Dealer,90000,First Owner,Diesel,Manual,Volkswagen
115,Hyundai i20 Magna,280000,2012,Dealer,49566,First Owner,Petrol,Manual,Hyundai
116,Hyundai Verna CRDi 1.6 AT SX Option,1250000,2018,Dealer,14000,First Owner,Diesel,Automatic,Hyundai
117,Hyundai i20 2015-2017 Sportz 1.2,590000,2016,Dealer,11000,First Owner,Petrol,Manual,Hyundai
118,Maruti Celerio VXI AMT BSIV,475000,2018,Individual,5000,First Owner,Petrol,Automatic,Maruti
119,Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,685000,2017,Dealer,55000,First Owner,Diesel,Manual,Ford
120,Hyundai Verna SX CRDi AT,380000,2012,Dealer,65000,First Owner,Diesel,Automatic,Hyundai
121,Renault KWID 1.0 RXT Optional,330000,2018,Individual,22000,First Owner,Petrol,Manual,Renault
122,Maruti Baleno Delta,650000,2018,Trustmark Dealer,7671,First Owner,Petrol,Manual,Maruti
123,Maruti Wagon R LXI,325000,2016,Individual,66000,First Owner,Petrol,Manual,Maruti
124,Maruti Swift Dzire AMT VXI,640000,2018,Dealer,45156,First Owner,Petrol,Automatic,Maruti
125,Hyundai Venue SX Opt Turbo BSIV,949000,2019,Individual,25000,First Owner,Petrol,Manual,Hyundai
126,Nissan Terrano XL Plus 85 PS,750000,2015,Individual,70000,First Owner,Diesel,Manual,Nissan
127,Hyundai Verna 1.6 CRDi SX,660000,2015,Individual,120000,First Owner,Diesel,Manual,Hyundai
128,Maruti Swift VXi BSIV,434999,2014,Dealer,28000,First Owner,Petrol,Manual,Maruti
129,Hyundai i20 Sportz 1.4 CRDi,385000,2013,Dealer,55000,First Owner,Diesel,Manual,Hyundai
130,Hyundai Santa Fe 4X2,1000000,2011,Individual,104000,First Owner,Diesel,Manual,Hyundai
131,Hyundai Verna CRDi 1.6 AT SX Option,1250000,2019,Dealer,14000,First Owner,Diesel,Automatic,Hyundai
132,Hyundai Xcent 1.2 VTVT SX,550000,2017,Individual,18000,First Owner,Petrol,Manual,Hyundai
133,Maruti Wagon R LX BS IV,155000,2009,Dealer,98780,First Owner,Petrol,Manual,Maruti
134,Maruti Swift VDI BSIV,415000,2015,Dealer,58000,First Owner,Diesel,Manual,Maruti
135,Maruti Alto K10 2010-2014 VXI,250999,2011,Individual,30000,First Owner,Petrol,Manual,Maruti
136,Mahindra Scorpio S10 7 Seater,1150000,2016,Dealer,46400,First Owner,Diesel,Manual,Mahindra
137,Hyundai i10 Magna 1.1L,310000,2014,Trustmark Dealer,32111,First Owner,Petrol,Manual,Hyundai
138,Datsun GO Plus T BSIV,350000,2015,Individual,35000,First Owner,Petrol,Manual,Datsun
139,Mahindra Scorpio 1.99 S6 Plus,1125000,2017,Dealer,30000,First Owner,Diesel,Manual,Mahindra
140,BMW 5 Series 530d M Sport,2600000,2016,Dealer,63000,First Owner,Diesel,Automatic,BMW
141,Chevrolet Beat LT,200000,2017,Individual,43890,First Owner,Petrol,Manual,Chevrolet
142,Datsun GO Plus Anniversary Edition,480000,2018,Individual,10000,First Owner,Petrol,Manual,Datsun
143,Maruti Swift Dzire AMT ZDI Plus,850000,2017,Individual,25000,First Owner,Diesel,Automatic,Maruti
144,Hyundai Creta 1.6 CRDi AT SX Plus,1100000,2017,Dealer,102000,First Owner,Diesel,Automatic,Hyundai
145,Maruti Swift VXI 2018,575000,2018,Dealer,35000,First Owner,Petrol,Manual,Maruti
146,Hyundai Santro LP,160000,2007,Individual,54000,First Owner,Petrol,Manual,Hyundai
147,Maruti Swift Dzire VXi,340000,2012,Dealer,49948,First Owner,Petrol,Manual,Maruti
148,Tata Indigo eLX BS IV,559000,2018,Individual,114851,First Owner,Diesel,Manual,Tata
149,Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,925000,2018,Individual,55000,First Owner,Diesel,Manual,Ford
150,Hyundai Grand i10 Magna,400000,2015,Dealer,36000,First Owner,Petrol,Manual,Hyundai
151,Hyundai Xcent 1.2 CRDi S,560000,2019,Individual,35000,First Owner,Diesel,Manual,Hyundai
152,Honda City i VTEC VX Option,725000,2016,Dealer,49625,First Owner,Petrol,Manual,Honda
153,Maruti Swift Dzire ZDI,600000,2014,Individual,35000,First Owner,Diesel,Manual,Maruti
154,Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,550000,2013,Individual,95000,First Owner,Diesel,Manual,Mahindra
155,Ford Aspire 1.5 TDCi Titanium,585000,2017,Dealer,36000,First Owner,Diesel,Manual,Ford
156,Maruti Wagon R VXI,411000,2019,Individual,50000,First Owner,Petrol,Manual,Maruti
157,Maruti Swift Dzire VXI,450000,2015,Individual,26500,First Owner,Petrol,Manual,Maruti
